timepoint,link_key,tt_sd,s,period,counts,traveltime
1,"(0, 1, '0')",0.6632874804228996,0.6089958621886069,0,13106.239327794077,9.138107072520668
1,"(0, 2, '0')",0.21822526486296512,0.823825425690536,0,9414.423409825327,7.109243642497474
1,"(1, 0, '0')",0.1871725370949876,0.18289481698760135,0,8089.452706700327,9.105084668803627
1,"(1, 5, '0')",0.7297792387589718,0.7868995056208983,0,9551.216866856577,13.44361663978141
1,"(2, 0, '0')",0.8633132629760015,0.3113874789738148,0,21272.50202310658,7.409922849345619
1,"(2, 3, '0')",0.39172036421755163,0.7715140753500648,0,11406.300851231577,7.169955026317054
1,"(2, 11, '0')",0.11004811349712262,0.9149494646556006,0,10851.225655919077,7.116816770244056
1,"(3, 2, '0')",0.9127915035794474,0.22627172929216355,0,25108.33405435658,9.293774377513344
1,"(3, 4, '0')",0.3570059887962751,0.9911599141695914,0,13865.695382481577,5.172461759257728
1,"(3, 10, '0')",0.41296217981812544,0.3114666072281085,0,9061.259347325327,14.30005432288688
1,"(4, 3, '0')",0.18354969377389296,0.8856389551738137,0,24206.26374185658,5.905544053721839
1,"(4, 5, '0')",0.5859902699897871,0.6936276549544037,0,13155.944405919077,25.889925729442055
1,"(4, 8, '0')",0.8556708466479875,0.0545247259975572,0,10645.398507481577,8.637165795970375
1,"(5, 1, '0')",0.7896812152453201,0.20181883260219147,0,14628.490304356577,45.520004998851235
1,"(5, 4, '0')",0.08784242370264728,0.8591558084357476,0,10202.561593419077,12.972810517955239
1,"(5, 7, '0')",0.9329932724558334,0.6607567170158832,0,11395.851632481577,10.197023641276772
1,"(6, 7, '0')",0.4999511406074236,0.8727867882285799,0,18824.73835123158,16.943226586986
1,"(6, 17, '0')",0.3642569891908011,0.7237448554628845,0,18432.81256998158,5.18436313788932
1,"(7, 5, '0')",0.4836061905063387,0.09193851810441844,0,22301.66999185658,103.57255245368522
1,"(7, 6, '0')",0.5152245913332608,0.02196605110027272,0,14462.600655919077,9.512006532359536
1,"(7, 8, '0')",0.9946434676752095,0.18204899423987453,0,10479.234444981577,28.42096782844108
