timepoint,link_key,tt_sd,s,period,traveltime,counts
1,"(0, 1, '0')",0.6632874804228996,0.6089958621886069,0,7.954958172916904,8571.03544479251
1,"(0, 2, '0')",0.21822526486296512,0.823825425690536,0,5.133898945927158,7046.29081588626
1,"(1, 0, '0')",0.1871725370949876,0.18289481698760135,0,7.662822457432285,7309.97099166751
1,"(1, 5, '0')",0.7297792387589718,0.7868995056208983,0,11.845743390202061,6313.84794479251
1,"(2, 0, '0')",0.8633132629760015,0.3113874789738148,0,6.518652173161045,15148.30106979251
1,"(2, 3, '0')",0.39172036421755163,0.7715140753500648,0,6.38472387421085,10325.90556198001
1,"(2, 11, '0')",0.11004811349712262,0.9149494646556006,0,5.46455785858585,8980.93192916751
1,"(3, 2, '0')",0.9127915035794474,0.22627172929216355,0,8.611282559513585,19850.29911666751
1,"(3, 4, '0')",0.3570059887962751,0.9911599141695914,0,3.503627749561802,14336.13700729251
1,"(3, 10, '0')",0.41296217981812544,0.3114666072281085,0,14.56597444641544,6501.85038619876
1,"(4, 3, '0')",0.18354969377389296,0.8856389551738137,0,4.098068448185459,19621.54521041751
1,"(4, 5, '0')",0.5859902699897871,0.6936276549544037,0,14.29857942688419,12309.46220260501
1,"(4, 8, '0')",0.8556708466479875,0.0545247259975572,0,8.822929593204991,7355.21024948001
1,"(5, 1, '0')",0.7896812152453201,0.20181883260219147,0,20.625593396305575,15020.26591354251
1,"(5, 4, '0')",0.08784242370264728,0.8591558084357476,0,12.182579251408116,9691.97196823001
1,"(5, 7, '0')",0.9329932724558334,0.6607567170158832,0,6.482723923801914,10770.83817916751
1,"(6, 7, '0')",0.4999511406074236,0.8727867882285799,0,8.845051976322667,15099.97099166751
1,"(6, 17, '0')",0.3642569891908011,0.7237448554628845,0,3.1766059123273047,15247.90458541751
1,"(7, 5, '0')",0.4836061905063387,0.09193851810441844,0,12.278957577824132,24967.51786666751
1,"(7, 6, '0')",0.5152245913332608,0.02196605110027272,0,7.381675454258457,11274.79618698001
1,"(7, 8, '0')",0.9946434676752095,0.18204899423987453,0,20.13603422272159,4555.46269088626
1,"(7, 15, '0')",0.753403443374045,0.2761351299390967,0,11.138357373356358,5723.17167526126
1,"(8, 4, '0')",0.36581991580263795,0.6733332766340134,0,17.252548428654208,24214.44755416751
1,"(8, 7, '0')",0.6113730813897688,0.570474864107661,0,22.923599454044833,5963.23759323001
1,"(8, 9, '0')",0.4196113499484212,0.3773069358685265,0,6.305530282139316,15523.82060104251
1,"(9, 8, '0')",0.09167672210207167,0.2845129711764639,0,10.040129872440831,32847.12138229251
1,"(9, 10, '0')",0.53485391876583,0.20266589697287252,0,18.549909802555575,26809.17021041751
1,"(9, 14, '0')",0.3407642186475901,0.33093452601858553,0,16.924020978092685,24356.23271041751
1,"(9, 15, '0')",0.018340990889802455,0.3645398581151821,0,18.400097104191317,17043.70536666751
1,"(9, 16, '0')",0.603452620536204,0.20260427719629337,0,18.581592770695224,6063.22685104251
1,"(10, 3, '0')",0.9218061729926634,0.6029547618186811,0,24.542721005558505,14664.20439010501
1,"(10, 9, '0')",0.2813641313572214,0.0629581995457077,0,14.282955380558507,18275.26200729251
1,"(10, 11, '0')",0.8348009811112259,0.7314779358819499,0,26.35810682403995,16149.43974166751
1,"(10, 13, '0')",0.5496226575408409,0.733844185123569,0,14.879302235722081,12830.12138229251
1,"(11, 2, '0')",0.021791015958648408,0.590150243239298,0,7.010043355106846,18023.36552291751
1,"(11, 10, '0')",0.34705988952929334,0.7169063369045029,0,16.000456067204013,7675.45341354251
1,"(11, 12, '0')",0.550034791378317,0.713165163089644,0,4.428527566074863,13252.76005416751
1,"(12, 11, '0')",0.013205631128021644,0.7758692885917541,0,4.671258183598057,15348.34989791751
1,"(12, 23, '0')",0.7158927072215715,0.6840503970183347,0,13.779273244022862,12023.86259323001
1,"(13, 10, '0')",0.18977700535536257,0.7978975925046432,0,15.583225461124913,13688.29325729251
1,"(13, 14, '0')",0.7424670735510953,0.588988977190016,0,12.832534047245518,7563.84403854251
1,"(13, 22, '0')",0.6294313700617412,0.8597187605051667,0,11.519460888981358,8827.01396041751
1,"(14, 9, '0')",0.36218393009128713,0.44221438081404285,0,15.82063696014835,21871.41044479251
1,"(14, 13, '0')",0.6270293903714866,0.38798554651919537,0,17.292848797916903,12137.92021041751
1,"(14, 18, '0')",0.5148847524058702,0.281126399050331,0,6.516058655857578,17300.44755416751
1,"(14, 21, '0')",0.8949073179368925,0.09532998203981735,0,9.647698613285558,21199.07841354251
1,"(15, 7, '0')",0.5186654256839361,0.43344672837703613,0,18.773025723576083,13427.80888229251
1,"(15, 9, '0')",0.6074091804740506,0.6761627123287923,0,15.092815610050694,13029.56083541751
1,"(15, 16, '0')",0.4748159985545415,0.2507060318689802,0,4.9567849360699805,7553.41825729251
1,"(15, 17, '0')",0.7095906991635826,0.33964254674017813,0,6.09172317612125,20822.97685104251
1,"(16, 9, '0')",0.11524270956742733,0.6354477708293657,0,20.20737096893741,7078.01933151126
1,"(16, 15, '0')",0.7327940685960685,0.6809840275379663,0,6.395005437016025,11314.30009323001
1,"(16, 18, '0')",0.8780425358861355,0.35022581147267484,0,7.2632376872296485,12479.32157760501
1,"(17, 6, '0')",0.5190639546546741,0.5059566855691439,0,3.7938301287884864,22470.49833541751
1,"(17, 15, '0')",0.6804967706973032,0.4118956173901761,0,4.384297581791416,9622.32743698001
1,"(17, 19, '0')",0.4355580462697013,0.7422614287110032,0,7.370834561466709,20134.30692916751
1,"(18, 14, '0')",0.9717632213779057,0.14496462409810296,0,6.384560319065586,16662.03544479251
1,"(18, 16, '0')",0.36519126611684316,0.7312173653008287,0,5.776015015720859,8892.17704635501
1,"(18, 19, '0')",0.622712992189762,0.515397281579558,0,10.495743008732335,7696.53446823001
1,"(19, 17, '0')",0.2582934326564159,0.3326233544319752,0,8.384575101017491,26065.57060104251
1,"(19, 18, '0')",0.6813432920295053,0.9256141871012638,0,9.08692571747257,5934.59501510501
1,"(19, 20, '0')",0.8765919304209655,0.9733962892699497,0,18.518936368107333,10055.75126510501
1,"(19, 21, '0')",0.2422684944321538,0.5595394222425211,0,13.201358052372472,7855.17021041751
1,"(20, 19, '0')",0.14263219434835817,0.1018886854795763,0,16.889167996525302,8681.33720260501
1,"(20, 21, '0')",0.8253891117478838,0.6720790144790248,0,4.550108643650547,6489.97782760501
